;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 29.5.2020. 11:44:08
;----------------------------------------------

;Address Opcode 	ASM
0x0652	0xB000      	BTFSC       R0, 0, 0
;__Lib_Math.c,188 :: 		
0x0654	0xD006      	BRA         $+14
;__Lib_Math.c,189 :: 		
0x0656	0x5004      	MOVF        R4, 0, 0
;__Lib_Math.c,190 :: 		
0x0658	0x2608      	ADDWF       R8, 1, 0
;__Lib_Math.c,191 :: 		
0x065A	0x5005      	MOVF        R5, 0, 0
;__Lib_Math.c,192 :: 		
0x065C	0xB0D8      	BTFSC       STATUS, 0, 0
;__Lib_Math.c,193 :: 		
0x065E	0x3C05      	INCFSZ      R5, 0, 0
;__Lib_Math.c,194 :: 		
0x0660	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,195 :: 		
0x0662	0x0000      	NOP
;__Lib_Math.c,197 :: 		
L_end_Div_16x16_S_L:
0x0664	0x0012      	RETURN      0
; end of _Div_16x16_S_L
_DAC_Output:
;KosturPRO.c,62 :: 		void DAC_Output(unsigned int valueDAC) {
;KosturPRO.c,64 :: 		PORTC &= ~(_CHIP_SELECT);           // ClearBit(PORTC,CHIP_SELECT);
0x0666	0x0EFE      	MOVLW       254
0x0668	0x1682      	ANDWF       PORTC, 1 
;KosturPRO.c,66 :: 		temp = (valueDAC >> 8) & 0x0F;      // Prepare hi-byte for transfer
0x066A	0xF000C09D  	MOVFF       FARG_DAC_Output_valueDAC+1, R0
0x066E	0x6A01      	CLRF        R1 
0x0670	0x0E0F      	MOVLW       15
0x0672	0x1400      	ANDWF       R0, 0 
0x0674	0x0100      	MOVLB       0
0x0676	0x6F9E      	MOVWF       FARG_SPI1_Write_data_, 1
;KosturPRO.c,67 :: 		temp |= 0x30;                       // It's a 12-bit number, so only
0x0678	0x0E30      	MOVLW       48
0x067A	0x139E      	IORWF       FARG_SPI1_Write_data_, 1, 1
;KosturPRO.c,68 :: 		SPI1_write(temp);                   //   lower nibble of high byte is used
0x067C	0xDE22      	RCALL       _SPI1_Write
;KosturPRO.c,70 :: 		SPI1_write(temp);
0x067E	0xF09EC09C  	MOVFF       FARG_DAC_Output_valueDAC, FARG_SPI1_Write_data_
0x0682	0xDE1F      	RCALL       _SPI1_Write
;KosturPRO.c,72 :: 		PORTC |= _CHIP_SELECT;              // SetBit(PORTC,CHIP_SELECT);
0x0684	0x8082      	BSF         PORTC, 0 
;KosturPRO.c,73 :: 		}
L_end_DAC_Output:
0x0686	0x0012      	RETURN      0
; end of _DAC_Output
_SETIOV3224:
;__Lib_MathDouble.c,530 :: 		
;__Lib_MathDouble.c,537 :: 		
0x0688	0x800B      	BSF         R11, 0, 0
;__Lib_MathDouble.c,538 :: 		
0x068A	0xAE0B      	BTFSS       R11, 7, 0
;__Lib_MathDouble.c,539 :: 		
0x068C	0xF003EF50  	GOTO        SETIOV3224EEE
;__Lib_MathDouble.c,541 :: 		
0x0690	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,542 :: 		
0x0692	0xAE0A      	BTFSS       R10, 7, 0
;__Lib_MathDouble.c,543 :: 		
0x0694	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,544 :: 		
0x0696	0x6E02      	MOVWF       R2, 0
;__Lib_MathDouble.c,545 :: 		
0x0698	0x6E01      	MOVWF       R1, 0
;__Lib_MathDouble.c,546 :: 		
0x069A	0x6E00      	MOVWF       R0, 0
;__Lib_MathDouble.c,547 :: 		
0x069C	0x360A      	RLCF        R10, 1, 0
;__Lib_MathDouble.c,548 :: 		
0x069E	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,549 :: 		
SETIOV3224EEE:
;__Lib_MathDouble.c,550 :: 		
0x06A0	0x0EFF      	MOVLW       255
;__Lib_MathDouble.c,552 :: 		
L_end_SETIOV3224:
0x06A2	0x0012      	RETURN      0
; end of _SETIOV3224
_NRM4032:
;__Lib_MathDouble.c,174 :: 		
;__Lib_MathDouble.c,183 :: 		
0x06A4	0xB00C      	BTFSC       R12, 0, 0
;__Lib_MathDouble.c,184 :: 		
0x06A6	0xF003EF94  	GOTO        NRMRND4032
;__Lib_MathDouble.c,185 :: 		
0x06AA	0xA20C      	BTFSS       R12, 1, 0
;__Lib_MathDouble.c,186 :: 		
0x06AC	0xF004EF3A  	GOTO        NRM40JPSETFOV32
;__Lib_MathDouble.c,188 :: 		
0x06B0	0x6A0E      	CLRF        R14, 0
;__Lib_MathDouble.c,189 :: 		
0x06B2	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,190 :: 		
0x06B4	0x6402      	CPFSGT      R2, 0
;__Lib_MathDouble.c,191 :: 		
0x06B6	0xF003EFAB  	GOTO        NRM4032A
;__Lib_MathDouble.c,194 :: 		
0x06BA	0x0EF0      	MOVLW       240
;__Lib_MathDouble.c,195 :: 		
0x06BC	0x1402      	ANDWF       R2, 0, 0
;__Lib_MathDouble.c,196 :: 		
0x06BE	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,197 :: 		
0x06C0	0xF003EF76  	GOTO        NORM4032
;__Lib_MathDouble.c,199 :: 		
0x06C4	0x3A02      	SWAPF       R2, 1, 0
;__Lib_MathDouble.c,200 :: 		
0x06C6	0x3801      	SWAPF       R1, 0, 0
;__Lib_MathDouble.c,201 :: 		
0x06C8	0x0B0F      	ANDLW       15
;__Lib_MathDouble.c,202 :: 		
0x06CA	0x2602      	ADDWF       R2, 1, 0
;__Lib_MathDouble.c,204 :: 		
0x06CC	0x3801      	SWAPF       R1, 0, 0
;__Lib_MathDouble.c,205 :: 		
0x06CE	0x0BF0      	ANDLW       240
;__Lib_MathDouble.c,206 :: 		
0x06D0	0x6E01      	MOVWF       R1, 0
;__Lib_MathDouble.c,207 :: 		
0x06D2	0x3800      	SWAPF       R0, 0, 0
;__Lib_MathDouble.c,208 :: 		
0x06D4	0x0B0F      	ANDLW       15
;__Lib_MathDouble.c,209 :: 		
0x06D6	0x2601      	ADDWF       R1, 1, 0
;__Lib_MathDouble.c,211 :: 		
0x06D8	0x3800      	SWAPF       R0, 0, 0
;__Lib_MathDouble.c,212 :: 		
0x06DA	0x0BF0      	ANDLW       240
;__Lib_MathDouble.c,213 :: 		
0x06DC	0x6E00      	MOVWF       R0, 0
;__Lib_MathDouble.c,214 :: 		
0x06DE	0x3808      	SWAPF       R8, 0, 0
;__Lib_MathDouble.c,215 :: 		
0x06E0	0x0B0F      	ANDLW       15
;__Lib_MathDouble.c,216 :: 		
0x06E2	0x2600      	ADDWF       R0, 1, 0
;__Lib_MathDouble.c,218 :: 		
0x06E4	0x3808      	SWAPF       R8, 0, 0
;__Lib_MathDouble.c,219 :: 		
0x06E6	0x0BF0      	ANDLW       240
;__Lib_MathDouble.c,220 :: 		
0x06E8	0x6E08      	MOVWF       R8, 0
;__Lib_MathDouble.c,222 :: 		
0x06EA	0x840E      	BSF         R14, 2, 0
;__Lib_MathDouble.c,224 :: 		
NORM4032:
;__Lib_MathDouble.c,225 :: 		
0x06EC	0x90D8      	BCF         STATUS, 0, 0
;__Lib_MathDouble.c,227 :: 		
0x06EE	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,228 :: 		
0x06F0	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,229 :: 		
0x06F4	0x3608      	RLCF        R8, 1, 0
;__Lib_MathDouble.c,230 :: 		
0x06F6	0x3600      	RLCF        R0, 1, 0
;__Lib_MathDouble.c,231 :: 		
0x06F8	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,232 :: 		
0x06FA	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,233 :: 		
0x06FC	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,234 :: 		
0x06FE	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,235 :: 		
0x0700	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,236 :: 		
0x0704	0x3608      	RLCF        R8, 1, 0
;__Lib_MathDouble.c,237 :: 		
0x0706	0x3600      	RLCF        R0, 1, 0
;__Lib_MathDouble.c,238 :: 		
0x0708	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,239 :: 		
0x070A	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,240 :: 		
0x070C	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,241 :: 		
0x070E	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,242 :: 		
0x0710	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,243 :: 		
0x0714	0x3608      	RLCF        R8, 1, 0
;__Lib_MathDouble.c,244 :: 		
0x0716	0x3600      	RLCF        R0, 1, 0
;__Lib_MathDouble.c,245 :: 		
0x0718	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,246 :: 		
0x071A	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,247 :: 		
0x071C	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,249 :: 		
TNORMUN4032:
;__Lib_MathDouble.c,250 :: 		
0x071E	0x500E      	MOVF        R14, 0, 0
;__Lib_MathDouble.c,251 :: 		
0x0720	0x6403      	CPFSGT      R3, 0
;__Lib_MathDouble.c,252 :: 		
0x0722	0xF004EF30  	GOTO        NRM40JPSETFUN32
;__Lib_MathDouble.c,253 :: 		
0x0726	0x5E03      	SUBWF       R3, 1, 0
;__Lib_MathDouble.c,255 :: 		
NRMRND4032:
;__Lib_MathDouble.c,256 :: 		
0x0728	0xBC0B      	BTFSC       R11, 6, 0
;__Lib_MathDouble.c,257 :: 		
0x072A	0xAE08      	BTFSS       R8, 7, 0
;__Lib_MathDouble.c,258 :: 		
0x072C	0xF004EF35  	GOTO        NRM40JPFIXSIGN32
;__Lib_MathDouble.c,259 :: 		
0x0730	0x80D8      	BSF         STATUS, 0, 0
;__Lib_MathDouble.c,260 :: 		
0x0732	0x0E80      	MOVLW       128
;__Lib_MathDouble.c,261 :: 		
0x0734	0x6408      	CPFSGT      R8, 0
;__Lib_MathDouble.c,262 :: 		
0x0736	0x3000      	RRCF        R0, 0, 0
;__Lib_MathDouble.c,263 :: 		
0x0738	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,264 :: 		
0x073A	0x2200      	ADDWFC      R0, 1, 0
;__Lib_MathDouble.c,265 :: 		
0x073C	0x2201      	ADDWFC      R1, 1, 0
;__Lib_MathDouble.c,266 :: 		
0x073E	0x2202      	ADDWFC      R2, 1, 0
;__Lib_MathDouble.c,268 :: 		
0x0740	0xA0D8      	BTFSS       STATUS, 0, 0
;__Lib_MathDouble.c,269 :: 		
0x0742	0xF004EF35  	GOTO        NRM40JPFIXSIGN32
;__Lib_MathDouble.c,270 :: 		
0x0746	0x3202      	RRCF        R2, 1, 0
;__Lib_MathDouble.c,271 :: 		
0x0748	0x3201      	RRCF        R1, 1, 0
;__Lib_MathDouble.c,272 :: 		
0x074A	0x3200      	RRCF        R0, 1, 0
;__Lib_MathDouble.c,273 :: 		
0x074C	0x4A03      	INFSNZ      R3, 1, 0
;__Lib_MathDouble.c,274 :: 		
0x074E	0xF004EF3A  	GOTO        NRM40JPSETFOV32
;__Lib_MathDouble.c,275 :: 		
0x0752	0xF004EF35  	GOTO        NRM40JPFIXSIGN32
;__Lib_MathDouble.c,277 :: 		
NRM4032A:
;__Lib_MathDouble.c,278 :: 		
0x0756	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,279 :: 		
0x075A	0xF001C000  	MOVFF       R0, R1
;__Lib_MathDouble.c,280 :: 		
0x075E	0xF000C008  	MOVFF       R8, R0
;__Lib_MathDouble.c,281 :: 		
0x0762	0x6A08      	CLRF        R8, 0
;__Lib_MathDouble.c,282 :: 		
0x0764	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,283 :: 		
0x0766	0x860E      	BSF         R14, 3, 0
;__Lib_MathDouble.c,284 :: 		
0x0768	0x6402      	CPFSGT      R2, 0
;__Lib_MathDouble.c,285 :: 		
0x076A	0xF003EFE2  	GOTO        NRM4032B
;__Lib_MathDouble.c,288 :: 		
0x076E	0x0EF0      	MOVLW       240
;__Lib_MathDouble.c,289 :: 		
0x0770	0x1402      	ANDWF       R2, 0, 0
;__Lib_MathDouble.c,290 :: 		
0x0772	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,291 :: 		
0x0774	0xF003EFCA  	GOTO        NORM4032A
;__Lib_MathDouble.c,292 :: 		
0x0778	0x3A02      	SWAPF       R2, 1, 0
;__Lib_MathDouble.c,293 :: 		
0x077A	0x3801      	SWAPF       R1, 0, 0
;__Lib_MathDouble.c,294 :: 		
0x077C	0x0B0F      	ANDLW       15
;__Lib_MathDouble.c,295 :: 		
0x077E	0x2602      	ADDWF       R2, 1, 0
;__Lib_MathDouble.c,297 :: 		
0x0780	0x3801      	SWAPF       R1, 0, 0
;__Lib_MathDouble.c,298 :: 		
0x0782	0x0BF0      	ANDLW       240
;__Lib_MathDouble.c,299 :: 		
0x0784	0x6E01      	MOVWF       R1, 0
;__Lib_MathDouble.c,300 :: 		
0x0786	0x3800      	SWAPF       R0, 0, 0
;__Lib_MathDouble.c,301 :: 		
0x0788	0x0B0F      	ANDLW       15
;__Lib_MathDouble.c,302 :: 		
0x078A	0x2601      	ADDWF       R1, 1, 0
;__Lib_MathDouble.c,304 :: 		
0x078C	0x3800      	SWAPF       R0, 0, 0
;__Lib_MathDouble.c,305 :: 		
0x078E	0x0BF0      	ANDLW       240
;__Lib_MathDouble.c,306 :: 		
0x0790	0x6E00      	MOVWF       R0, 0
;__Lib_MathDouble.c,308 :: 		
0x0792	0x840E      	BSF         R14, 2, 0
;__Lib_MathDouble.c,310 :: 		
NORM4032A:
;__Lib_MathDouble.c,311 :: 		
0x0794	0x90D8      	BCF         STATUS, 0, 0
;__Lib_MathDouble.c,313 :: 		
0x0796	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,314 :: 		
0x0798	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,315 :: 		
0x079C	0x3600      	RLCF        R0, 1, 0
;__Lib_MathDouble.c,316 :: 		
0x079E	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,317 :: 		
0x07A0	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,318 :: 		
0x07A2	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,319 :: 		
0x07A4	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,320 :: 		
0x07A6	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,321 :: 		
0x07AA	0x3600      	RLCF        R0, 1, 0
;__Lib_MathDouble.c,322 :: 		
0x07AC	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,323 :: 		
0x07AE	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,324 :: 		
0x07B0	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,325 :: 		
0x07B2	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,326 :: 		
0x07B4	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,327 :: 		
0x07B8	0x3600      	RLCF        R0, 1, 0
;__Lib_MathDouble.c,328 :: 		
0x07BA	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,329 :: 		
0x07BC	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,330 :: 		
0x07BE	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,331 :: 		
0x07C0	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,333 :: 		
NRM4032B:
;__Lib_MathDouble.c,334 :: 		
0x07C4	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,335 :: 		
0x07C8	0xF001C000  	MOVFF       R0, R1
;__Lib_MathDouble.c,336 :: 		
0x07CC	0x6A00      	CLRF        R0, 0
;__Lib_MathDouble.c,337 :: 		
0x07CE	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,338 :: 		
0x07D0	0x960E      	BCF         R14, 3, 0
;__Lib_MathDouble.c,339 :: 		
0x07D2	0x880E      	BSF         R14, 4, 0
;__Lib_MathDouble.c,340 :: 		
0x07D4	0x6402      	CPFSGT      R2, 0
;__Lib_MathDouble.c,341 :: 		
0x07D6	0xF004EF0F  	GOTO        NRM4032C
;__Lib_MathDouble.c,344 :: 		
0x07DA	0x0EF0      	MOVLW       240
;__Lib_MathDouble.c,345 :: 		
0x07DC	0x1402      	ANDWF       R2, 0, 0
;__Lib_MathDouble.c,346 :: 		
0x07DE	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,347 :: 		
0x07E0	0xF003EFFA  	GOTO        NORM4032B
;__Lib_MathDouble.c,349 :: 		
0x07E4	0x3A02      	SWAPF       R2, 1, 0
;__Lib_MathDouble.c,350 :: 		
0x07E6	0x3801      	SWAPF       R1, 0, 0
;__Lib_MathDouble.c,351 :: 		
0x07E8	0x0B0F      	ANDLW       15
;__Lib_MathDouble.c,352 :: 		
0x07EA	0x2602      	ADDWF       R2, 1, 0
;__Lib_MathDouble.c,354 :: 		
0x07EC	0x3801      	SWAPF       R1, 0, 0
;__Lib_MathDouble.c,355 :: 		
0x07EE	0x0BF0      	ANDLW       240
;__Lib_MathDouble.c,356 :: 		
0x07F0	0x6E01      	MOVWF       R1, 0
;__Lib_MathDouble.c,358 :: 		
0x07F2	0x840E      	BSF         R14, 2, 0
;__Lib_MathDouble.c,360 :: 		
NORM4032B:
;__Lib_MathDouble.c,361 :: 		
0x07F4	0x90D8      	BCF         STATUS, 0, 0
;__Lib_MathDouble.c,362 :: 		
0x07F6	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,363 :: 		
0x07F8	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,364 :: 		
0x07FC	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,365 :: 		
0x07FE	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,366 :: 		
0x0800	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,367 :: 		
0x0802	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,368 :: 		
0x0804	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,369 :: 		
0x0808	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,370 :: 		
0x080A	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,371 :: 		
0x080C	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,372 :: 		
0x080E	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,373 :: 		
0x0810	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,374 :: 		
0x0814	0x3601      	RLCF        R1, 1, 0
;__Lib_MathDouble.c,375 :: 		
0x0816	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,376 :: 		
0x0818	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,377 :: 		
0x081A	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,379 :: 		
NRM4032C:
;__Lib_MathDouble.c,380 :: 		
0x081E	0xF002C001  	MOVFF       R1, R2
;__Lib_MathDouble.c,381 :: 		
0x0822	0x6A01      	CLRF        R1, 0
;__Lib_MathDouble.c,382 :: 		
0x0824	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,383 :: 		
0x0826	0x860E      	BSF         R14, 3, 0
;__Lib_MathDouble.c,384 :: 		
0x0828	0x6402      	CPFSGT      R2, 0
;__Lib_MathDouble.c,385 :: 		
0x082A	0xF004EF3F  	GOTO        NRM40JPRES032
;__Lib_MathDouble.c,388 :: 		
0x082E	0x0EF0      	MOVLW       240
;__Lib_MathDouble.c,389 :: 		
0x0830	0x1402      	ANDWF       R2, 0, 0
;__Lib_MathDouble.c,390 :: 		
0x0832	0xA4D8      	BTFSS       STATUS, 2, 0
;__Lib_MathDouble.c,391 :: 		
0x0834	0xF004EF1E  	GOTO        NORM4032C
;__Lib_MathDouble.c,392 :: 		
0x0838	0x3A02      	SWAPF       R2, 1, 0
;__Lib_MathDouble.c,394 :: 		
0x083A	0x840E      	BSF         R14, 2, 0
;__Lib_MathDouble.c,396 :: 		
NORM4032C:
;__Lib_MathDouble.c,397 :: 		
0x083C	0x90D8      	BCF         STATUS, 0, 0
;__Lib_MathDouble.c,399 :: 		
0x083E	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,400 :: 		
0x0840	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,401 :: 		
0x0844	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,402 :: 		
0x0846	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,403 :: 		
0x0848	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,404 :: 		
0x084A	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,405 :: 		
0x084E	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,406 :: 		
0x0850	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,407 :: 		
0x0852	0xBE02      	BTFSC       R2, 7, 0
;__Lib_MathDouble.c,408 :: 		
0x0854	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,409 :: 		
0x0858	0x3602      	RLCF        R2, 1, 0
;__Lib_MathDouble.c,410 :: 		
0x085A	0x2A0E      	INCF        R14, 1, 0
;__Lib_MathDouble.c,411 :: 		
0x085C	0xF003EF8F  	GOTO        TNORMUN4032
;__Lib_MathDouble.c,413 :: 		
NRM40JPSETFUN32:
;__Lib_MathDouble.c,414 :: 		
0x0860	0x0E01      	MOVLW       1
;__Lib_MathDouble.c,415 :: 		
0x0862	0x6E0C      	MOVWF       R12, 0
;__Lib_MathDouble.c,417 :: 		
0x0864	0xDE63      	RCALL       _SETFUN32
;__Lib_MathDouble.c,419 :: 		
0x0866	0xF004EF42  	GOTO        NRM40EEE
;__Lib_MathDouble.c,420 :: 		
NRM40JPFIXSIGN32:
;__Lib_MathDouble.c,421 :: 		
0x086A	0x0E02      	MOVLW       2
;__Lib_MathDouble.c,422 :: 		
0x086C	0x6E0C      	MOVWF       R12, 0
;__Lib_MathDouble.c,424 :: 		
0x086E	0xDE5A      	RCALL       _FIXSIGN32
;__Lib_MathDouble.c,426 :: 		
0x0870	0xF004EF42  	GOTO        NRM40EEE
;__Lib_MathDouble.c,427 :: 		
NRM40JPSETFOV32:
;__Lib_MathDouble.c,428 :: 		
0x0874	0x0E04      	MOVLW       4
;__Lib_MathDouble.c,429 :: 		
0x0876	0x6E0C      	MOVWF       R12, 0
;__Lib_MathDouble.c,431 :: 		
0x0878	0xDE49      	RCALL       _SETFOV32
;__Lib_MathDouble.c,433 :: 		
0x087A	0xF004EF42  	GOTO        NRM40EEE
;__Lib_MathDouble.c,434 :: 		
NRM40JPRES032:
;__Lib_MathDouble.c,435 :: 		
0x087E	0x0E08      	MOVLW       8
;__Lib_MathDouble.c,436 :: 		
0x0880	0x6E0C      	MOVWF       R12, 0
;__Lib_MathDouble.c,438 :: 		
0x0882	0xDE3D      	RCALL       _RES032
;__Lib_MathDouble.c,440 :: 		
NRM40EEE:
;__Lib_MathDouble.c,448 :: 		
L_end_NRM4032:
0x0884	0x0012      	RETURN      0
; end of _NRM4032
_Lcd_Chr_CP:
;__Lib_Lcd.c,50 :: 		
;__Lib_Lcd.c,52 :: 		
0x0886	0x907F      	BCF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,53 :: 		
0x0888	0xF09EC09C  	MOVFF       FARG_Lcd_Chr_CP_out_char, FARG_Lcd_Cmd_out_char
0x088C	0xDD23      	RCALL       _Lcd_Cmd
;__Lib_Lcd.c,54 :: 		
0x088E	0x807F      	BSF         __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0) 
;__Lib_Lcd.c,55 :: 		
L_end_Lcd_Chr_CP:
0x0890	0x0012      	RETURN      0
; end of _Lcd_Chr_CP
_Add_32x32_FP:
;__Lib_MathDouble.c,563 :: 		
;__Lib_MathDouble.c,578 :: 		
0x0892	0x5002      	MOVF        R2, 0, 0
;__Lib_MathDouble.c,579 :: 		
0x0894	0x1806      	XORWF       R6, 0, 0
;__Lib_MathDouble.c,580 :: 		
0x0896	0x6E0E      	MOVWF       R14, 0
;__Lib_MathDouble.c,582 :: 		
0x0898	0x6A08      	CLRF        R8, 0
;__Lib_MathDouble.c,583 :: 		
0x089A	0x6A09      	CLRF        R9, 0
;__Lib_MathDouble.c,584 :: 		
0x089C	0x6A0B      	CLRF        R11, 0
;__Lib_MathDouble.c,586 :: 		
0x089E	0x5003      	MOVF        R3, 0, 0
;__Lib_MathDouble.c,587 :: 		
0x08A0	0x6407      	CPFSGT      R7, 0
;__Lib_MathDouble.c,588 :: 		
0x08A2	0xF005EF3C  	GOTO        USEA32
;__Lib_MathDouble.c,591 :: 		
0x08A6	0x5006      	MOVF        R6, 0, 0
;__Lib_MathDouble.c,592 :: 		
0x08A8	0x6E0A      	MOVWF       R10, 0
;__Lib_MathDouble.c,593 :: 		
0x08AA	0x8E06      	BSF         R6, 7, 0
;__Lib_MathDouble.c,594 :: 		
0x08AC	0x8E02      	BSF         R2, 7, 0
;__Lib_MathDouble.c,596 :: 		
0x08AE	0x5003      	MOVF        R3, 0, 0
;__Lib_MathDouble.c,597 :: 		
0x08B0	0x6E0B      	MOVWF       R11, 0
;__Lib_MathDouble.c,598 :: 		
0x08B2	0x5007      	MOVF        R7, 0, 0
;__Lib_MathDouble.c,599 :: 		
0x08B4	0x6E03      	MOVWF       R3, 0
;__Lib_MathDouble.c,601 :: 		
0x08B6	0x0E00      	MOVLW       0
;__Lib_MathDouble.c,602 :: 		
0x08B8	0x640B      	CPFSGT      R11, 0
;__Lib_MathDouble.c,603 :: 		
0x08BA	0xF004EF8C  	GOTO        BRETURN32
;__Lib_MathDouble.c,604 :: 		
0x08BE	0x500B      	MOVF        R11, 0, 0
;__Lib_MathDouble.c,605 :: 		
0x08C0	0x5E07      	SUBWF       R7, 1, 0
;__Lib_MathDouble.c,606 :: 		
0x08C2	0xB4D8      	BTFSC       STATUS, 2, 0
;__Lib_MathDouble.c,607 :: 		
0x08C4	0xF005EF2D  	GOTO        BLIGNED32
;__Lib_MathDouble.c,609 :: 		
0x08C8	0x0E07      	MOVLW       7
;__Lib_MathDouble.c,610 :: 		
0x08CA	0x6407      	CPFSGT      R7, 0
;__Lib_MathDouble.c,611 :: 		
0x08CC	0xF004EFFB  	GOTO        BNIB32
;__Lib_MathDouble.c,613 :: 		
0x08D0	0x5E07      	SUBWF       R7, 1, 0
;__Lib_MathDouble.c,614 :: 		
0x08D2	0xF008C000  	MOVFF       R0, R8
;__Lib_MathDouble.c,615 :: 		
0x08D6	0xF000C001  	MOVFF       R1, R0
;__Lib_MathDouble.c,616 :: 		
0x08DA	0xF001C002  	MOVFF       R2, R1
;__Lib_MathDouble.c,617 :: 		
0x08DE	0x6A02      	CLRF        R2, 0
;__Lib_MathDouble.c,618 :: 		
0x08E0	0x4E07      	DCFSNZ      R7, 1, 0
;__Lib_MathDouble.c,619 :: 		
0x08E2	0xF005EF2D  	GOTO        BLIGNED32
;__Lib_MathDouble.c,621 :: 		
0x08E6	0x6407      	CPFSGT      R7, 0
;__Lib_MathDouble.c,622 :: 		
